[2026-04-18T18:44:50.758Z] GET https://www.improvedigital.com/ → pending (?ms, ?B)
[2026-04-18T18:44:52.489Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/THE_OZONE_PROJECT-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.489Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/abovo-media.png → pending (?ms, ?B)
[2026-04-18T18:44:52.489Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/PARRABLE-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.490Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/LOTAME-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.490Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/AMAZON_ADVERTISING-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.490Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/AUDIECERATE-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.491Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/HEARST-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.491Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/XANDR-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.491Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/SPILGAMES-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.491Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/DISPLAY_VIDEO-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.491Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/LOTAME_PANORAMA_ID-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.491Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/HUMAN-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.491Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/ELLE.png → pending (?ms, ?B)
[2026-04-18T18:44:52.492Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/BID_SWITCH-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.492Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/AMEDIA-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.492Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/ID5-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.493Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/adverty-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.493Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/ORACLE-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.493Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/EBAY-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.493Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/LIVERAMP-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.493Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/differentology.png → pending (?ms, ?B)
[2026-04-18T18:44:52.493Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/EL_CONFIDENCIAL-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.493Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/BERLINGSKE_MEDIA-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.493Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/logan.png → pending (?ms, ?B)
[2026-04-18T18:44:52.493Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/anzu-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.493Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/UNIDAD_EDITORIAL-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.493Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/SANOMA-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.494Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/NETID-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.494Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/HOLA_COM-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.494Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/candid.png → pending (?ms, ?B)
[2026-04-18T18:44:52.494Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/BEESWAX-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.494Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/rakutentv-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.494Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/PRISMA_MEDIA-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.494Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/THE_TRADE_DESK-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.495Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/REWORLD_MEDIA-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.495Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/JUST_PREMIUM-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.495Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/keymobile.png → pending (?ms, ?B)
[2026-04-18T18:44:52.495Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/GRUPO_GODO-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.495Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/DIGITAL_AUDIENCE-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.495Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/BAUER_MEDIA_GROUP-min.png → pending (?ms, ?B)
[2026-04-18T18:44:52.495Z] GET https://improvedigital.com/wp-content/uploads/2026/03/IMPROVE_DIGITAL_BY_AZERION_LOGO_2_WHITE_HD-scaled.png → pending (?ms, ?B)
[2026-04-18T18:44:52.498Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/footer-iab-e1630338130548.png → pending (?ms, ?B)
[2026-04-18T18:44:52.499Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/footer-adchoice.png → pending (?ms, ?B)
[2026-04-18T18:44:52.499Z] GET https://new.improvedigital.com/wp-content/uploads/2021/10/footer-aop.png → pending (?ms, ?B)
[2026-04-18T18:44:52.499Z] GET https://improvedigital.com/wp-content/themes/neve/assets/js/build/modern/frontend.js?ver=3.4.10 → pending (?ms, ?B)
[2026-04-18T18:44:52.499Z] GET https://improvedigital.com/wp-content/plugins/otter-blocks/build/animation/frontend.js?ver=c44084e33dc17a73066a → pending (?ms, ?B)
[2026-04-18T18:44:53.267Z] GET https://cookie-cdn.cookiepro.com/consent/387741d0-ecc5-4897-bd1a-0c5b650a4374/387741d0-ecc5-4897-bd1a-0c5b650a4374.json → pending (?ms, ?B)
[2026-04-18T18:44:53.450Z] GET https://fonts.gstatic.com/s/montserrat/v31/JTUSjIg1_i6t8kCHKm459WlhyyTh89Y.woff2 → pending (?ms, ?B)
[2026-04-18T18:44:53.450Z] GET https://improvedigital.com/wp-content/uploads/2021/10/ICON_2_V2-min-150x150.png → pending (?ms, ?B)
[2026-04-18T18:44:53.450Z] GET https://improvedigital.com/wp-content/uploads/2021/10/ICON_3_V2-min-150x150.png → pending (?ms, ?B)
[2026-04-18T18:44:53.450Z] GET https://improvedigital.com/wp-content/uploads/2024/01/all-people-2024-768x602.png → pending (?ms, ?B)
[2026-04-18T18:44:53.450Z] GET https://improvedigital.com/wp-content/uploads/2021/10/30SEC_00_2-39_2.mp4 → pending (?ms, ?B)
[2026-04-18T18:44:53.450Z] GET https://improvedigital.com/wp-content/uploads/2021/10/30SEC_00_1.mp4 → pending (?ms, ?B)
[2026-04-18T18:44:53.450Z] GET https://improvedigital.com/wp-content/uploads/2021/10/layouts_1.mp4 → pending (?ms, ?B)
[2026-04-18T18:44:53.458Z] GET blob:https://improvedigital.com/5f7575b9-5a63-4540-b6c2-f18162df0411 → 200 (5ms, ?B)
[2026-04-18T18:44:53.548Z] GET https://improvedigital.com/wp-includes/js/wp-emoji-release.min.js?ver=6.9.4 → pending (?ms, ?B)
[2026-04-18T18:44:53.883Z] GET https://geolocation.onetrust.com/cookieconsentpub/v1/geo/location → pending (?ms, ?B)
[2026-04-18T18:44:55.041Z] GET https://cookie-cdn.cookiepro.com/scripttemplates/202301.2.0/otBannerSdk.js → pending (?ms, ?B)
[2026-04-18T18:44:55.897Z] GET https://www.wrbm.com/ → pending (?ms, ?B)
